Region/Country/Area,Population density and surface area,Year,Series,Value
1,"Total, all countries or areas",2010,Population mid-year estimates (millions),"7,021.73"
1,"Total, all countries or areas",2010,Population mid-year estimates for males (millions),"3,533.14"
1,"Total, all countries or areas",2010,Population mid-year estimates for females (millions),"3,488.59"
1,"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.3
1,"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),27.3
1,"Total, all countries or areas",2010,Population aged 60+ years old (percentage),11.0
1,"Total, all countries or areas",2010,Population density,53.8
1,"Total, all countries or areas",2015,Population mid-year estimates (millions),"7,470.49"
1,"Total, all countries or areas",2015,Population mid-year estimates for males (millions),"3,761.33"
1,"Total, all countries or areas",2015,Population mid-year estimates for females (millions),"3,709.16"
1,"Total, all countries or areas",2015,Sex ratio (males per 100 females),101.4
1,"Total, all countries or areas",2015,Population aged 0 to 14 years old (percentage),26.6
1,"Total, all countries or areas",2015,Population aged 60+ years old (percentage),12.2
1,"Total, all countries or areas",2015,Population density,57.3
1,"Total, all countries or areas",2022,Population mid-year estimates (millions),"8,021.41"
1,"Total, all countries or areas",2022,Population mid-year estimates for males (millions),"4,035.01"
1,"Total, all countries or areas",2022,Population mid-year estimates for females (millions),"3,986.40"
1,"Total, all countries or areas",2022,Sex ratio (males per 100 females),101.2
1,"Total, all countries or areas",2022,Population aged 0 to 14 years old (percentage),25.3
1,"Total, all countries or areas",2022,Population aged 60+ years old (percentage),13.8
1,"Total, all countries or areas",2022,Population density,61.5
1,"Total, all countries or areas",2022,Surface area (thousand km2),"130,094"
1,"Total, all countries or areas",2024,Population mid-year estimates (millions),"8,161.97"
1,"Total, all countries or areas",2024,Population mid-year estimates for males (millions),"4,103.61"
1,"Total, all countries or areas",2024,Population mid-year estimates for females (millions),"4,058.36"
1,"Total, all countries or areas",2024,Sex ratio (males per 100 females),101.1
1,"Total, all countries or areas",2024,Population aged 0 to 14 years old (percentage),24.7
1,"Total, all countries or areas",2024,Population aged 60+ years old (percentage),14.5
1,"Total, all countries or areas",2024,Population density,62.6
2,Africa,2010,Population mid-year estimates (millions),"1,072.22"
2,Africa,2010,Population mid-year estimates for males (millions),534.30
2,Africa,2010,Population mid-year estimates for females (millions),537.91
2,Africa,2010,Sex ratio (males per 100 females),99.3
2,Africa,2010,Population aged 0 to 14 years old (percentage),41.8
2,Africa,2010,Population aged 60+ years old (percentage),5.0
2,Africa,2010,Population density,36.3
2,Africa,2015,Population mid-year estimates (millions),"1,220.08"
2,Africa,2015,Population mid-year estimates for males (millions),608.91
2,Africa,2015,Population mid-year estimates for females (millions),611.17
2,Africa,2015,Sex ratio (males per 100 females),99.6
2,Africa,2015,Population aged 0 to 14 years old (percentage),41.3
2,Africa,2015,Population aged 60+ years old (percentage),5.2
2,Africa,2015,Population density,41.3
2,Africa,2022,Population mid-year estimates (millions),"1,446.88"
2,Africa,2022,Population mid-year estimates for males (millions),722.64
2,Africa,2022,Population mid-year estimates for females (millions),724.25
2,Africa,2022,Sex ratio (males per 100 females),99.8
2,Africa,2022,Population aged 0 to 14 years old (percentage),39.8
2,Africa,2022,Population aged 60+ years old (percentage),5.6
2,Africa,2022,Population density,49.0
2,Africa,2022,Surface area (thousand km2),"29,648"
2,Africa,2024,Population mid-year estimates (millions),"1,515.14"
2,Africa,2024,Population mid-year estimates for males (millions),756.81
2,Africa,2024,Population mid-year estimates for females (millions),758.33
2,Africa,2024,Sex ratio (males per 100 females),99.8
2,Africa,2024,Population aged 0 to 14 years old (percentage),39.1
2,Africa,2024,Population aged 60+ years old (percentage),5.7
2,Africa,2024,Population density,51.3
15,Northern Africa,2010,Population mid-year estimates (millions),210.94
15,Northern Africa,2010,Population mid-year estimates for males (millions),106.55
15,Northern Africa,2010,Population mid-year estimates for females (millions),104.39
15,Northern Africa,2010,Sex ratio (males per 100 females),102.1
15,Northern Africa,2010,Population aged 0 to 14 years old (percentage),33.2
15,Northern Africa,2010,Population aged 60+ years old (percentage),6.5
